name,date,year,director,prod,composer,cast_mem
Lingoccha,October,2023,Anand Bada,Srikala Entertainments,Because Raj,"Ismail Bhai, Shree Tulasi Rama Dangeti, Kunal Kaushik, Sharath Kumar, Devaa Malishetty, Fidha Moughal, K. Narasimha, Sai Priya, Thagubothu Ramesh, Karthik Rathnam"
Mystery,October,2023,Thallada Saikrishna,,,"Gopal Krishna Akella, Mohammad Ali, Tanikella Bharani, Gaddam Naveen, Thallada Saikrishna, Suman"
Madhurapudi Gramam Ane Nenu,October,2023,Mallikarjuna Malli,,Mani Sharma,"Katalyn Gowda, Siva Kantamaneni, Muntaz, Mahendra Nath, Nookaraju, Kallu Krishna Rao, Bharani Shankar"
Guns Trance Action,October,2023,Deepak Sidhanth,,Mark K. Robin,"Chaithanya Pasupuleti, Heena Rai, Sudharshan, Rakhi, Srikanth Iyengar, Vivek Chepuri, Lobo, Chitram Sreenu"
Nene Saroja,October,2023,Sreeman Gummadavelli,,Geetha Madhuri,"Chakrapani Ananda, Kaushik Babu, Chandra Mohan, R.S. Nanda, Seethamalaxmi, Suman, Tapaswi"
Mangalavaaram,November,2023,Ajay Bhupathi,"A Creative Works, Mudhra Creative Works",B. Ajaneesh Loknath,"Payal Rajput, Nandita Shwetha, Divya Pillai, Ajmal Ameer, Ravindra Vijay, Chaitanya Krishna, Ajay Ghosh, Shravan Reddy, Sritej, Thanmai Bolt"
Aadikeshava,November,2023,Srikanth N Reddy,"Fortune Four Cinemas, Sithara Entertainments, Srikara Studios",G.V. Prakash Kumar,"Panja Vaisshnav Tej, Joju George, Sreeleela, Sada, Suman, Radhika Sarathkumar, Aparna Das, Tanikella Bharani, Rajsekhar Aningi, Keshav Deepak"
Narakasura,November,2023,Sebastian Noah Acosta Jr.,"Sumukha Creations, Ideal Filmmaker",Nawfal Raja Asi,"Rakshit Atluri, Nassar, Aparna Janardanan, Sangeerthana Vipin, Shatru, Charan Raj, Sriman, Tej Charanraj, S.S. Kanchi, Fish Venkat"
Perfume,November,2023,J. D Swamy,,Ajay Arasada,"Abhinaya, Prachi Thaker, Keshav Deepak, Lavanya Reddy, Krishnateja Eppala, Che Nag, Meghraj Ravindra, Gurupreet Singh"
Kota Bommali PS,November,2023,Teja Marni,GA2 Pictures,Midhun Mukundan,"Meka Srikanth, Varalaxmi Sarathkumar, Rahul Vijay, Shivani Rajashekar, Nalla Sreedhar Reddy Gabbar, Rama Rao Jadhav, Vishnu Oi, Dayanand Reddy, Murli Sharma"
